UID	Ferlus's numbering	I = EFEO; II = SOAS +CNRS; III = Michel Ferlus; IV = Frédéric Pain	French	English	Chinese [简体中文]	Vietnamese	Vietnamese (older form, corrected since)	Written Khmer	Standard (Modern) Khmer	Tatey Leu Khmer	Written Khmer: variant	Standard (Modern) Khmer: variant	Tatey Leu Khmer: variant	semantics	sémantique	TaiYo	TaiYo IPA (Mỹ Dạ)		
666	104.1	III	Ours du Tibet	Tibetan brown bear	西藏棕熊	gấu ngựa		-	-					animals	animaux, insectes, oiseaux...				
667	104a	III	Cri de l’ours	Cry of bear	熊的叫声	gấu kêu		-	-					animals	animaux, insectes, oiseaux...				
668	104b	III	Tanière	Den	兽穴，熊穴	hang gấu		-	-					animals	animaux, insectes, oiseaux...				
669	105	I	Singe (général)	Monkey (general)	猴子	khỉ		svā	svaː	svaː				animals	animaux, insectes, oiseaux...				
670	105a	II	Cri du singe	Cry of monkey	啸（猴子的叫声）	tiếng khỉ kêu		-	-					animals	animaux, insectes, oiseaux...				
671	105b	II	Gibbon	Gilbbon	长臂猿	vượn	vượn đen	doc	tɷːc	tòːc				animals	animaux, insectes, oiseaux...				
672	105.1	III	Gibbon (noir)	Gibbon (black)	黑长臂猿	vượn đen má trắng		-	-					animals	animaux, insectes, oiseaux...				
673	105.1a	III	Cri du gibbon	Cry of gibbon	黑长臂猿的叫声	tiếng vượn kêu		-	-					animals	animaux, insectes, oiseaux...				
674	105.2	III	Gibbon (gris)	Gibbon (gray)	灰长臂猿	vượn xám		-	-					animals	animaux, insectes, oiseaux...				
675	105.3	III	Langur	Langur	叶猴	vẹc, vọoc		-	-					animals	animaux, insectes, oiseaux...				
676	105.3a	III	Presbytis argenteus	Presbytis argenteus	一种叶猴	vọoc xám, vẹc tro		-	-					animals	animaux, insectes, oiseaux...				
677	105.3b	III	Presbytis francoisi	Presbytis francoisi	黑叶猴	vọoc đen má trắng	vọoc mông trắng	-	-					animals	animaux, insectes, oiseaux...				
678	105.3c	III	Pygathrix nemaeus	Pygathrix nemaeus	白臀叶猴	vọoc mông trắng	vẹc vá, vọoc vá	-	-					animals	animaux, insectes, oiseaux...				
679	105.3d	III	Langur (autre)	Langur (other)	一种叶猴 	khỉ dài tay		-	-					animals	animaux, insectes, oiseaux...				
680	105.4	III	Macaque divers	Macaca	猕猴	khỉ		-	-					animals	animaux, insectes, oiseaux...				
681	105.4a	III	Macaque rhésus	Macaca mulatta	普通猕猴	khỉ nâu		-	-					animals	animaux, insectes, oiseaux...				
682	105.4b	III	Macaca arctoides	Macaca arctoides	短尾猴	khỉ mặt đỏ, khỉ đen, khỉ cộc		-	-					animals	animaux, insectes, oiseaux...				
683	105.4c	III	Macaca fascicularis	Macaca fascicularis, long-tailed macaque, crab-eating macaque	长尾猕猴，食蟹猕猴	khỉ đuôi dài		-	-					animals	animaux, insectes, oiseaux...				
684	105.4d	III	Macaca assamensis	Macaca assamensis	熊猴	khỉ mốc		-	-					animals	animaux, insectes, oiseaux...				
685	105.4e	III	Macaca leonina, macaca indochinensis	Macaca leonina, macaca indochinensis	北平顶猴、北豚尾猴	khỉ đuôi lợn, khỉ xám		-	-					animals	animaux, insectes, oiseaux...				
686	105.5	III	Singe*, autre	Ape / monkey, other	猴子（其它）	khỉ đất		-	-					animals	animaux, insectes, oiseaux...				
687	105.5a	III	Singe*, autre	Ape / monkey, other	猴子（其它）	khỉ vàng		-	-					animals	animaux, insectes, oiseaux...				
688		III	Singe*, autre	Ape / monkey, other	猴子（其它）	khỉ sông		-	-					animals	animaux, insectes, oiseaux...				
689		III	Singe*, autre	Ape / monkey, other	猴子（其它）	khỉ		-						animals	animaux, insectes, oiseaux...				
690		III	Singe*, autre	Ape / monkey, other	猴子（其它）	khỉ		-						animals	animaux, insectes, oiseaux...				
691		III	Singe*, autre	Ape / monkey, other	猴子（其它）	khỉ		-						animals	animaux, insectes, oiseaux...				
692	105.6	III	Loris paresseux 	Sunda slow loris	懒猴	cu ly gầy, cu ly lớn, cu lần		-	-					animals	animaux, insectes, oiseaux...				
693	105.6a	III	Loris	Loris	懒猴，狐猴之类	cu ly gầy	cu ly nhỏ, cu ly lùn	-	-					animals	animaux, insectes, oiseaux...				
694	106	I	Tigre royal	Tiger	虎	cọp, hổ, khái		khlā dhaṁ	kʰlaː tʰɔm	kʰlaː tʰom				animals	animaux, insectes, oiseaux...				
695	106a	II	Cri, rugissement	Cry of tiger	啸/吼：老虎的叫声	cọp gầm		-	-					animals	animaux, insectes, oiseaux...				
696	107	I	Panthère	Panther, leopard	豹	báo	báo hoa mai, báo sao	khlā rakhin	kʰlaː rəkʰɤn	kʰlaː ŋgruː				animals	animaux, insectes, oiseaux...				
697	107a	II	Cri de la panthère	Cry of panther	豹的叫声	tiếng báo gầm		-	-					animals	animaux, insectes, oiseaux...				
698	107.1	III	Chat marbré (Pardofelis marmorata)	Marbled cat (Pardofelis marmorata)	纹猫	mèo gấm	báo gấm, báo vân	-	-					animals	animaux, insectes, oiseaux...				
699	107.1a	III	Panthères et léopards	Panthers and leopards	豹	báo		-	-					animals	animaux, insectes, oiseaux...				
700	107.1b	III	Panthère (Felis viverrina)	Panther (Felis viverrina)	豹	báo	mèo cá, mèo đuôi ngắn	-	-					animals	animaux, insectes, oiseaux...				
701	107.1c	III	Panthère (Felis moormensis)	Panther (Felis moormensis)	豹	báo	báo lửa, beo	-	-					animals	animaux, insectes, oiseaux...				
702	107.1d	III	Panthères et léopards	Panthers and leopards	豹	báo		-	-					animals	animaux, insectes, oiseaux...				
703		III	Panthères et léopards	Panthers and leopards	豹	báo		-	-					animals	animaux, insectes, oiseaux...				
704		III	Panthères et léopards	Panthers and leopards	豹	báo		-	-					animals	animaux, insectes, oiseaux...				
705	107.2	III	Chat sauvage, divers 	Wildcat	斑猫，野猫	mèo rừng		-	-					animals	animaux, insectes, oiseaux...				
706	107.2a	III	Panthère (petite) 	Panther (small)	小的豹子	mèo gấm		-	-					animals	animaux, insectes, oiseaux...				
707	107.2b	III	Chat sauvage	Wildcat	野猫	mèo ri, mèo núi		-	-					animals	animaux, insectes, oiseaux...				
708	107.2c	III	Chat sauvage, autres	Wildcat	野猫的一种	một loài mèo rừng		-	-					animals	animaux, insectes, oiseaux...				
709		III	Chat sauvage, autres	Wildcat	野猫的一种	một loài mèo rừng		-	-					animals	animaux, insectes, oiseaux...				
710	108	I	Cheval	Horse	马	ngựa		seḥ	sɛh	sɛh				animals	animaux, insectes, oiseaux...				
711	108a	II	Cri, hennissement	Cry of horse	萧/咴（马的叫声）	ngựa hí		-	-					animals	animaux, insectes, oiseaux...				
712	108b	III	Ruer, le cheval rue	To kick	踢	ngựa đá		-	-					animals	animaux, insectes, oiseaux...				
713	108c	III	Crinière	Mane	鬃	bờm ngựa		-	-					animals	animaux, insectes, oiseaux...				
714	109	I	Éléphant	Elephant	象	voi		ṭaṁrī	ɗəmrɛj	təmriː/eː				animals	animaux, insectes, oiseaux...				
715		IV	Eléphant mâle, défenses très courtes	Male elephant with very short tusks	公象，有很短的象牙	voi đực		ṭaṁrī sṭar	ɗəmrɛj sɗɑː	səɗɒː				animals	animaux, insectes, oiseaux...				
716	109a	II	Cri, barrissement	Cry of elephant	大象的叫声	voi rống		-	-					animals	animaux, insectes, oiseaux...				
717	109.1	II	Rhinocéros	Rhinoceros	犀（犀牛）	tê giác		ramās	-	rəmàː(h)				animals	animaux, insectes, oiseaux...				
718	109.1a	III	Corne du rhinocéros	Rhinoceros horn	犀（牛）角	sừng tê giác		-	-					animals	animaux, insectes, oiseaux...				
719	109.2	II	Dragon (mythologique)	Dragon	龙	rồng		bas¢ nāgarāja	poəh niəʔ riəc	-				animals	animaux, insectes, oiseaux...				
720		IV	Dragon (mythologique) [Reg.]					chnāṁ mroṅ	cʰnam mərɷːŋ					animals	animaux, insectes, oiseaux...				
721	110	I	Chauve-souris	Bat	蝙蝠	dơi		prajiev	prəciəw	pəciav				animals	animaux, insectes, oiseaux...				
722	110a	II	Cri de la chauve-souris	Cry of bat	蝙蝠的叫声	tiếng dơi kêu		-	-					animals	animaux, insectes, oiseaux...				
723	110b	III	Se pendre (tête en bas)	Hang (upside down)	倒挂	treo ngược		-	-					animals	animaux, insectes, oiseaux...				
724	110.1	III	Chauve-souris*, autres	Bat	蝙蝠	dơi		-	-					animals	animaux, insectes, oiseaux...				
725		III	Chauve-souris*, autres	Bat	蝙蝠	dơi		-	-					animals	animaux, insectes, oiseaux...				
726		III	Chauve-souris*, autres	Bat	蝙蝠	dơi		-	-					animals	animaux, insectes, oiseaux...				
727	111	I	Poulet, coq, poule	Chicken, domestic fowl (general)	鸡	gà nhà	gà	mān¢	moən 	màn				animals	animaux, insectes, oiseaux...				
728	111a	II	Cri, caquettement	Cry of chicken	喔喔喔/咯咯咯/叽叽叽	(gà kêu) cục cục	gà cục tác	mān¢ raṅāv	moən rəŋiəw	màn rəŋàːv				animals	animaux, insectes, oiseaux...				
729		IV						mān¢ khtat	moən kʰtɑt	màn kətaːt				animals	animaux, insectes, oiseaux...				
730	111b	III	Chanter (coq)	Sing (rooster)	啼叫（公鸡）	(gà) gáy	gà gáy	-	-					animals	animaux, insectes, oiseaux...				
731	111.1	III	Gratter (poule - le sol)	Scratch (chickens scratch the soil)	（用指甲、爪）搔，扒	(gà) bới	gà bới	-	-					animals	animaux, insectes, oiseaux...				
732	111.2	III	Gésier	Gizzard	肫	diều gà		-	-					animals	animaux, insectes, oiseaux...				
733	111.3	III	Oiseau	Bird	鸟	chim		-	-					animals	animaux, insectes, oiseaux...				
734	112	I	Moineau	Sparrow	麻雀	chim sẻ		cāp	caːp srok	sɒt cáːp				animals	animaux, insectes, oiseaux...				
735	112a	II	Cri, chant du moineau	Cry of sparrow	叽叽喳喳	tiếng chim kêu		-	-					animals	animaux, insectes, oiseaux...				
736	113	I	Canard (domestique)	Duck, domestic canard (general)	鸭	vịt nhà		dā	tiə	tàː				animals	animaux, insectes, oiseaux...				
737	113a	II	Cri du canard	Cry of duck	嘎嘎	(vịt kêu) cạp cạp		-	-					animals	animaux, insectes, oiseaux...				
738	113.1	II	Oie	Goose	鹅	ngỗng		khṅān	kəŋaːn	kəŋàːn				animals	animaux, insectes, oiseaux...				
739	113.2	III	Canard sauvage (d’eau)	Wild duck	野鸭	vịt trời		-	-					animals	animaux, insectes, oiseaux...				
740	113.3	III	Paon	Peacock	孔雀	công		-	-					animals	animaux, insectes, oiseaux...				
741	113.4	III	Roue, le paon fait la roue	(Peacock) wheel	孔雀尾巴，孔雀开屏	đuôi (công), công xòe đuôi	công múa	-	-					animals	animaux, insectes, oiseaux...				
742	113.5	III	Calao, toucan	Toucan	大嘴鸟	chim toucan	chim hồng hoàng	-	-					animals	animaux, insectes, oiseaux...				
743	114	I	Corbeau	Crow	乌鸦	quạ		k´æk	kəʔaec	kɛːk				animals	animaux, insectes, oiseaux...				
744	114a	II	Cri, coassement	Cry of crow	哑哑（乌鸦的叫声）	quạ chao		-	-					animals	animaux, insectes, oiseaux...				
745	114.1	II	Merle	Blackbird, magpierobin	鹊鸲（信鸟，四喜）	sáo, khướu		sārikā kæv	səkaː kaew	səkaː kɛv				animals	animaux, insectes, oiseaux...				
746	114.2	II	Héron	Heron	鹭（苍鹭）	con cò		krasār	krəsaː	kəsaː				animals	animaux, insectes, oiseaux...				
747	114.3	II	Poule d’eau	Moorhen, marsh hen, river chicken	黑水鸡，雌红松鸡	gà nước (kịch)	vịt nước	mān¢ dịk	moən tɨk	màn tɯ`k				animals	animaux, insectes, oiseaux...				
748	114.4	II	Hirondelle	Swallow	燕（燕子）	chim én		trajiek kaṁ	trəciə kam	təciak kam				animals	animaux, insectes, oiseaux...				
749	115	I	Tourterelle	Turtledove	斑鸠	chim ngói	chim gáy, cu đất	lalak	ləlɔːʔ	rəlɔ`ːk				animals	animaux, insectes, oiseaux...				
750	115a	II	Cri, roucoulement	Cry of dove	咕咕	cu gù		drol	ləlɔːʔ rəŋiəw	rəlɔ`ːk troːl				animals	animaux, insectes, oiseaux...				
751		IV						raṅāv		rəlɔ`ːk rəŋàːv				animals	animaux, insectes, oiseaux...				
752	116	I	Hibou	Owl (general)	猫头鹰	cú mèo		dīduy	tituj	tətùj				animals	animaux, insectes, oiseaux...				
753	116a	II	Cri, hululement	Cry of owl	唬唬	cú kêu hu hu		-	-					animals	animaux, insectes, oiseaux...				
754	116.1	II	Milan, aigle, faucon	Kite, falcon, eagle	鸢、老鹰	diều hâu		khlæṅ	kʰlaeŋ	kʰlɛːŋ				animals	animaux, insectes, oiseaux...				
755		IV						(satva) ´endrī	(sat) ʔentriː					animals	animaux, insectes, oiseaux...				
756	116.2	III	Pic-vert	Woodpecker	啄木鸟·	chim gõ kiến		-	-					animals	animaux, insectes, oiseaux...				
757	116.3	III	Perdrix percheuse	Partridge	鹧鸪	chim đa đa		-	-					animals	animaux, insectes, oiseaux...				
758	116.4	III	Oiseau, autre	Bird, other	一种鸟	một loài chim		-	-					animals	animaux, insectes, oiseaux...				
759		III	Oiseau, autre	Bird, other	一种鸟	một loài chim		-	-					animals	animaux, insectes, oiseaux...				
760		III	Oiseau, autre	Bird, other	一种鸟	một loài chim		-	-					animals	animaux, insectes, oiseaux...				
761		III	Oiseau, autre	Bird, other	一种鸟	một loài chim		-	-					animals	animaux, insectes, oiseaux...				
762		III	Oiseau, autre	Bird, other	一种鸟	một loài chim		-	-					animals	animaux, insectes, oiseaux...				
763	117	I	Courir (animaux)	To run	跑	chạy		rat¢	ruət	ròt				animals	animaux, insectes, oiseaux...				
764	117.1	III	Bondir (tigre)	Jump (tiger)	跳跃（虎）	cọp vồ, tát		-	-					animals	animaux, insectes, oiseaux...				
765	118	I	Voler	To fly	飞	bay		hœr	haə	hə´ːr				animals	animaux, insectes, oiseaux...				
766	118.1	III	Planer	Plane, glide	滑翔	liệng		-	-					animals	animaux, insectes, oiseaux...				
767	118.2	III	Se poser sur	Land on	降落于	(chim) đậu (trên cành), (chim) sà xuống	chim đậu trên canh	-	-					animals	animaux, insectes, oiseaux...				
768	118.3	III	Donner la becquée	to feed (the way mother birds feed their young)	献食：鸟类喂食的方式	đút mồi		-	-					animals	animaux, insectes, oiseaux...				
769	119	I	Chasser	To hunt	狩猎	săn mồi		par pāñ¢	ɓɑː ɓaɲ	ɓɛɲ				animals	animaux, insectes, oiseaux...				
770	119.1	III	Chasser (le tigre -)	Hunt (the tiger hunts other animals)	捕杀	cọp săn mồi		-	-					animals	animaux, insectes, oiseaux...				
771	119.2	III	Chasser en vol (milan)	To hunt in flight (the kite hunts another bird in flight)	在飞行中狩猎：鹞子在飞行抓一只鸟	chim săn mồi		-	-					animals	animaux, insectes, oiseaux...				
772	120	I	Pêcher	To fish	捕（鱼）	chim đớp mồi		cāp¢ (trī)	cap (trɛj)	-				animals	animaux, insectes, oiseaux...				
773		IV	littér.					nesād	neː saːt	ʔəncat				animals	animaux, insectes, oiseaux...				
774		IV	à l’épuisette					jañjāt¢	cəɲcoət					animals	animaux, insectes, oiseaux...				
775		IV	à l’épervier					paṅ¢ (trī)	ɓɑŋ (trɛj)					animals	animaux, insectes, oiseaux...				
776		IV	à la ligne					sdūc (trī)	stuːc (trɛj)					animals	animaux, insectes, oiseaux...				
777	121	I	Œuf	Egg	蛋	trứng		baṅ	pɔːŋ	pòːŋ				animals	animaux, insectes, oiseaux...				
778	121.1	III	Coquille d’œuf	Eggshell	蛋壳	vỏ trứng		-	-					animals	animaux, insectes, oiseaux...				
779	121.2	III	Blanc de l’œuf	Egg white	蛋白，蛋清	lòng trắng trứng		-	-					animals	animaux, insectes, oiseaux...				
780	121.3	III	Jaune de l’œuf	Egg yolk	蛋黄	lòng đỏ trứng	lòng vàng trứng	-	-					animals	animaux, insectes, oiseaux...				
781	121.4	III	Pondre	Lay (eggs)	产卵，生蛋	đẻ trứng		-	-					animals	animaux, insectes, oiseaux...				
782	121.5	III	Couver (poulets, oiseaux)	Incubate	孵	ấp trứng		-	-					animals	animaux, insectes, oiseaux...				
783	121.6	III	Poussin (dans l’œuf)	Chick (in the egg)	小鸡（在鸡蛋里，还没有孵出）	gà con chưa nở		-	-					animals	animaux, insectes, oiseaux...				
784	122	I	Chanter (oiseau)	To sing (of animals and birds)	（鸟）叫	(chim) hót	chim hót	yaṁ	jum	jòm				animals	animaux, insectes, oiseaux...				
785	123	I	Crier (oiseau)	To cry, call (of animals and birds)	唤，呼叫	(chim) kêu	chim kêu	-	srɛːk					animals	animaux, insectes, oiseaux...				
786	124	I	Poisson	Fish	鱼	cá		trī/ macchā	trɛj	trɯ´ː				animals	animaux, insectes, oiseaux...				
787	124a	III	Bulles, faire des -	To make bubbles	吐泡泡（鱼吐泡泡）	(cá thả) bong bóng	cá thả bong bóng	-	-					animals	animaux, insectes, oiseaux...				
788	124b	III	Sauter (hors de l’eau)	Jump (fish jumps)	（鱼）跳跃（出水）	(cá) nhảy, vượt	cá nhảy, vượt	-	-					animals	animaux, insectes, oiseaux...				
789	124c	III	Frai de poisson	Spawning fish	产卵的鱼	ca trứng (cá ở thời kỳ đẻ trứng)	cá đẻ	-	-					animals	animaux, insectes, oiseaux...				
790	124d	III	Vessie natatoire	Fish maw, swim bladder	（鱼）鳔	bong bóng cá		-	-					animals	animaux, insectes, oiseaux...				
791	124e	III	Branchies	Gill	鳃	mang cá		-	-					animals	animaux, insectes, oiseaux...				
792	124f	III	Têtards	Tadpoles	蝌蚪	con nòng nọc		-	-					animals	animaux, insectes, oiseaux...				
793	124.1	II	Crabe	Crab	蟹	cua		kṭam	kʰɗaːm	kəɗàː(m)				animals	animaux, insectes, oiseaux...				
794	124.1a	III	Pinces du crabe	Crab pincers	蟹钳，蟹螯	càng cua		-	-					animals	animaux, insectes, oiseaux...				
795	124.1b	III	Carapace du crabe	Crab shell	蟹壳	mai cua	gộp cua	-	-					animals	animaux, insectes, oiseaux...				
796	124.1c	III	Dessous de la carapace (du crabe)	Bottom part of (crab's) shell	蟹壳的下面部分	yếm cua		-	-					animals	animaux, insectes, oiseaux...				
797	124.2	II	Écrevisse	Crayfish	淡水龙虾	tôm sông, tôm nước ngọt	tép	kaṁbịs	kəmpɨh	ʔəmɓəh				animals	animaux, insectes, oiseaux...				
798	124.2a	II	Crevette	Prawn	虾（明虾，对虾）	tôm		paṅgā	ɓəŋkiə	ɓɔŋkàː				animals	animaux, insectes, oiseaux...				
799		IV	Crevette	Prawn	虾（明虾，对虾）	tôm		paṅkaṅ	ɓəŋkɑːŋ					animals	animaux, insectes, oiseaux...				
800		IV	Crevette	Prawn	虾（明虾，对虾）	tôm		trī koṅ	trɛj kaoŋ/kɔːŋ					animals	animaux, insectes, oiseaux...				
801	124.3	II	Anguille	Eel	鳗	lươn		´andaṅ¢	ʔəntuəŋ	ʔɔntòŋ				animals	animaux, insectes, oiseaux...				
802	124.4	II	Raie	Skate	鳐	cá chuồn, cá bo	cá đuối	trī prapæl	trɛj ɓəɓael	trɯː prəɓeːl				animals	animaux, insectes, oiseaux...				
803	124.5	II	Requin	Shark	鲨鱼（鲛鱼）	cá mập, cá xà		trī chlām	trɛj cʰlaːm	cʰlaːm				animals	animaux, insectes, oiseaux...				
804	124.6	III	Silure	Catfish	鲶鱼，鲇鱼	cá trê, cá nghét		-	-					animals	animaux, insectes, oiseaux...				
805	124.6a	III	Poisson*, autre	Fish 	一种鱼	một loài cá		-	-					animals	animaux, insectes, oiseaux...				
806		III	Poisson*, autre	Fish 	一种鱼	một loài cá		-	-					animals	animaux, insectes, oiseaux...				
807		III	Poisson*, autre	Fish 	一种鱼	một loài cá		-	-					animals	animaux, insectes, oiseaux...				
808		III	Poisson*, autre	Fish 	一种鱼	một loài cá		-	-					animals	animaux, insectes, oiseaux...				
809	125	I	Pondre (cf. 121.4)	To lay eggs	下蛋，产卵	đẻ trứng		baṅ	pɔːŋ	poːŋ				animals	animaux, insectes, oiseaux...				
810	125.1	III	Insecte (général)	Insect	昆虫	sâu bọ		-	-					animals	animaux, insectes, oiseaux...				
811	126	I	Mouche	Fly	蝇	ruồi		ruy	ruj	rùj				animals	animaux, insectes, oiseaux...				
812	126a	III	Mouche, grosse mouche	Fly, bluebottle	蝇，蓝丽蝇	nhặng	lằng, ruồi xanh	-	-					animals	animaux, insectes, oiseaux...				
813	126b	III	Œufs de mouche	Fly eggs	苍蝇蛋	trứng ruồi		-	-					animals	animaux, insectes, oiseaux...				
814	126c	III	Asticot de mouche	Fly maggot	蝇蛆	giòi ruồi		-	-					animals	animaux, insectes, oiseaux...				
815	126.1	II	Pou de tête	Head louse	头虱	chí, chấy		cai	caj	cɛ´j				animals	animaux, insectes, oiseaux...				
816	126.2	II	Pou de corps	Body louse	体虱	rận		cai khluon	caj kʰluən	cɛ´j kʰluan				animals	animaux, insectes, oiseaux...				
817	126.2a	III	Pou des poulets	Chicken lice	鸡虱	bọ gà		-	-					animals	animaux, insectes, oiseaux...				
818	126.3	II	Puce	Flea	蚤（跳蚤，虼蚤）	bọ chét		sramœl	srəmaəl	səmə`ːl				animals	animaux, insectes, oiseaux...				
819	126.3a	III	Tique des chiens	Dog lice	狗虱	rận	bọ chó	cai chkæ	caj cʰkae	-				animals	animaux, insectes, oiseaux...				
820	126.4	II	Punaise (de lit)	Bed-bug	臭虫	rệp		saṅkœc	səŋkaəc	-				animals	animaux, insectes, oiseaux...				
821	1266.5	II	Moucheron	Gnat, midge	蚊蚋	muỗi mắt, muỗi nhỏ, ruồi nhuế	ruồi con	suc	soc	sóc				animals	animaux, insectes, oiseaux...				
822		IV	Moucheron	Gnat, midge	蚊蚋	muỗi mắt, muỗi nhỏ, ruồi nhuế		mamaṅ¢	məmuəŋ	məmòːŋ				animals	animaux, insectes, oiseaux...				
